combination,model,roc_auc,mcc,ci_lower,ci_upper
morgan,RandomForest,0.7825833908442605,0.42231606410971556,0.7383551874856222,0.8218150448585231
morgan,SVM,0.7787600644122383,0.45686064217593964,0.7336576949620428,0.8210904071773637
morgan,XGBoost,0.7670600414078674,0.39241034083924925,0.7322498274672188,0.7987853692201518
rdkit,RandomForest,0.7713273521969175,0.3578909363900124,0.7395905221992178,0.8030683229813665
rdkit,SVM,0.7309753853232115,0.3354398132366253,0.6945801702323442,0.7851851851851852
rdkit,XGBoost,0.7432275132275132,0.3164372561947144,0.6979664136185876,0.7884886128364389
combined,RandomForest,0.8064653784219,0.4178827385131309,0.7581055900621119,0.8481458477110649
combined,SVM,0.7891419369680239,0.4211345693898595,0.7384195997239476,0.8254037267080745
combined,XGBoost,0.7688083735909823,0.3642374319901888,0.7379825166781689,0.7996342305037956
